

,时段,人员,“衣”,食,住,行,建筑类型
固定人口,永久(20年以上),原居民,?,?,?,?,现有
,长期(10~20年),?,?,?,?,?,拆除
,中期(5~10年),?,?,?,?,?,保护
,短期(1~5年),?,?,?,?,?,改建
流动人口,长住(几个月),?,?,?,?,?,扩建
,小住(几周),?,?,?,?,?,重建
,留宿(几天),?,?,?,?,?,新建
,过境(当日),?,?,?,?,?,发展
,,,,,,,



人员,,住,,,,衣,行,时段
厂区宿舍,,,,
水边别墅,,,,
镇里商品房,,,,
镇上豪宅,,,,
工厂宿舍,,,,
河边的旧民宅,,,,
废弃的工厂车间,,,,
老板们送的豪宅,,,,
门卫,,,,
农田自建房,,,,
普通居住区,,,,
小区,,,,
酒店,,,,
船,,,,
普通居住区,,,,
田郊老宅,,,,
店内,,,,
镇内住宅楼,,,,
东北侧的民宅,,,,
东北侧水塘边民居,,,,
水塘边民宅,,,,
北侧民居,,,,
北侧研究院宿舍,,,,
厂区宿舍,,,,
阿里居住区,,,,
水库宿舍,,,,
北部民宅,,,,
镇内旅馆,,,,
镇内住宅楼,,,,
镇内住宅楼/郊外住宅,,,,
工厂,,,,
菜场,,,,
娱乐会所,,,,
岸边/公园,,,,
村支办,,,,
农田,,,,
工地,,,,
居住区/街道,,,,
消防局,,,,
理发店,,,,
野外,,,,
船,,,,
教堂,,,,
酒店,,,,
镇北民宅,,,,
镇内住宅楼,,,,
镇北民宅,,,,
店内房间,,,,
镇内住宅楼,,,,
镇内老住宅,,,,
医院,,,,
镇内住宅楼,,,,
北郊民宅,,,,
农场内宅/镇内宅,,,,
镇内旅馆,,,,
警察局的监控室,,,,
水上的悬浮小房,,,,
植物厂会议室,,,,
植物厂研究室,,,,
幼儿园,,,,
网吧,,,,
普通小区,,,,
租的房子,,,,
拉面店/跳舞场地,,,,
农户/菜场/学校,,,,
老年服务中心,,,,
小三家的床上,,,,
KTV,,,,
学校篮球场,,,,
学校食堂,,,,
老年服务中心,,,,
学校篮球场/家,,,,
奶奶的老宅,,,,
在小区租房,,,,
老宅,,,,
普通小区,,,,
短期居住区,,,,
工厂传达室,,,,
拆迁还建房,,,,
共享出租屋,,,,
厂区宿舍/工厂流水线,,,,
外市谈生意,,,,
镇上的商品房,,,,
共享出租屋/工厂流水线,,,,
镇上豪宅/工厂办公室,,,,
工厂宿舍/厨房,,,,
河边的旧民宅/工厂各个办公室,,,,
工厂仓库,,,,
混混聚集的出租房,,,,
床上,,,,
大棚,,,,
工厂流水线视察,,,,
工厂办公室,,,,
工厂宿舍,,,,
办公室,,,,
床上,,,,
厂里闲逛,,,,
大棚,,,,
拆迁还建房,,,,
工厂传达室,,,,
流水线工作/镇里小超市/宿舍,,,,
豪华饭店/夜店,,,,
办公室处理资料,,,,
工厂办公室/废品回收站卖工厂偷的零件,,,,
网球场,,,,
绕着水库夜跑,,,,
高速服务区,,,,
大排档扯,,,,
拆迁还建房,,,,
共享出租屋,,,,
厂区宿舍,,,,
水边别墅,,,,
镇里商品房,,,,
镇上豪宅,,,,
工厂宿舍,,,,
河边的旧民宅,,,,
镇里商品房,,,,
废弃的工厂车间,,,,
老板们送的豪宅,,,,
门卫,,,,
农田自建房,,,,
蜂巢边,,,,
健身房,,,,
鱼塘,,,,
社区座椅,,,,
中转站,,,,
帐篷里,,,,



出行方式,距离,时段,是否结伴,
自行车,,,,
电瓶车,,,,
汽车,,,,
风火轮儿,,,,
共享无人车,,,,
电动黄包车,,,,
步行,,,,
船,,,,
小面包,,,,
爷爷的电动三轮,,,,
小快艇,,,,
轿车,,,,
货车,,,,
哈雷摩托,,,,
校车,,,,
不动,,,,
奔驰,,,,
城间快车,,,,
轮子,,,,
厂区班车接送,,,,
奔驰S600,,,,
奥迪A6,,,,
电瓶车,,,,
公交车,,,,
保时捷718,,,,
蹄子,,,,
特斯拉电动车,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,



人员,,,,
原居民,,,,
旅游者,,,,
远房亲戚,,,,
过路休息,,,,
外地调派,,,,
做任务,,,,
,,,,
,,,,
,,,,
